open_time,open,high,low,close,volume
2025-03-30 15:53:02.504771,3500.0,3523.48438356886,3471.7780453280006,3500.0,48256.23
2025-03-30 16:08:02.504771,3452.48,3474.2813190014226,3427.1943102990654,3452.48,21598.55
2025-03-30 16:23:02.504771,3399.8,3405.4402664418917,3370.7540389523765,3399.8,37646.35
2025-03-30 16:38:02.504771,3399.3,3414.810970103486,3383.176507143647,3399.3,16021.25
2025-03-30 16:53:02.504771,3414.56,3442.6133222018875,3402.0513854492433,3414.56,21171.26
2025-03-30 17:08:02.504771,3447.19,3456.7875438317305,3441.5499389773818,3447.19,21105.24
2025-03-30 17:23:02.504771,3444.31,3452.5065969005636,3424.6026561711833,3444.31,24961.38
2025-03-30 17:38:02.504771,3435.94,3464.2775324004588,3430.931469040686,3435.94,37292.31
2025-03-30 17:53:02.504771,3390.79,3398.0042894920593,3383.871002184854,3390.79,74351.66
2025-03-30 18:08:02.504771,3392.5,3398.0073887986086,3367.9354043772714,3392.5,59733.16
2025-03-30 18:23:02.504771,3402.82,3426.387283942816,3397.13345265687,3402.82,78037.73
2025-03-30 18:38:02.504771,3417.82,3433.471090177367,3385.4511264114853,3417.82,33839.31
2025-03-30 18:53:02.504771,3448.38,3479.0266772930904,3439.1350946336897,3448.38,71102.02
2025-03-30 19:08:02.504771,3487.65,3508.562970303324,3480.9232706145917,3487.65,40584.26
2025-03-30 19:23:02.504771,3472.9,3478.352929343488,3439.637315694667,3472.9,64636.75
2025-03-30 19:38:02.504771,3459.56,3491.3821827812017,3439.842565811065,3459.56,48286.4
2025-03-30 19:53:02.504771,3494.58,3499.9016905872704,3476.1858892811633,3494.58,27899.41
2025-03-30 20:08:02.504771,3520.29,3541.6146219617144,3515.277761077432,3520.29,29602.26
2025-03-30 20:23:02.504771,3461.56,3472.0880684172857,3437.2614190539857,3461.56,17063.31
2025-03-30 20:38:02.504771,3413.76,3426.1472063207716,3385.7824300702187,3413.76,75903.84
2025-03-30 20:53:02.504771,3467.42,3471.3507816068404,3451.0263135434743,3467.42,31544.29
2025-03-30 21:08:02.504771,3459.76,3470.2535908978502,3453.8854294795506,3459.76,18059.23
2025-03-30 21:23:02.504771,3496.68,3530.3263557287196,3485.4662908232162,3496.68,33023.05
2025-03-30 21:38:02.504771,3553.16,3586.7712838482066,3538.406077357225,3553.16,58632.75
2025-03-30 21:53:02.504771,3493.5,3525.3450350398084,3473.695876133187,3493.5,10930.36
2025-03-30 22:08:02.504771,3461.1,3494.54786449897,3454.152897062947,3461.1,48039.11
2025-03-30 22:23:02.504771,3506.14,3538.1455657000497,3485.1768127664873,3506.14,71496.82
2025-03-30 22:38:02.504771,3490.11,3500.764356776414,3481.150745787006,3490.11,32441.17
2025-03-30 22:53:02.504771,3556.84,3583.5417170509845,3551.271703137323,3556.84,44301.76
2025-03-30 23:08:02.504771,3497.31,3519.8086140441746,3476.9038221616106,3497.31,20250.47
2025-03-30 23:23:02.504771,3457.04,3460.7782984206774,3434.714086840078,3457.04,30738.29
2025-03-30 23:38:02.504771,3404.0,3418.711086649033,3378.4570007616057,3404.0,74169.46
2025-03-30 23:53:02.504771,3456.26,3473.981455496467,3442.156552379977,3456.26,63832.33
2025-03-31 00:08:02.504771,3525.23,3557.9220062094096,3511.273147433933,3525.23,65280.2
2025-03-31 00:23:02.504771,3586.37,3613.413765914082,3563.213989763318,3586.37,72382.85
2025-03-31 00:38:02.504771,3560.06,3589.6601226064395,3532.769590553942,3560.06,51230.96
2025-03-31 00:53:02.504771,3545.25,3565.7236915644985,3533.5796214017028,3545.25,60451.32
2025-03-31 01:08:02.504771,3568.62,3591.830502163389,3557.5550565090307,3568.62,53896.09
2025-03-31 01:23:02.504771,3501.49,3529.6392392570306,3495.153156218453,3501.49,48995.87
2025-03-31 01:38:02.504771,3453.37,3471.985680404723,3431.581172441264,3453.37,23418.62
2025-03-31 01:53:02.504771,3517.22,3533.701418433911,3508.6595981584915,3517.22,57851.02
2025-03-31 02:08:02.504771,3509.28,3519.5504962578275,3485.971417757099,3509.28,54159.41
2025-03-31 02:23:02.504771,3500.67,3530.7840967822353,3468.6236281923475,3500.67,32098.35
2025-03-31 02:38:02.504771,3555.83,3587.297877050019,3530.4090159200446,3555.83,21326.5
2025-03-31 02:53:02.504771,3588.19,3610.141720851437,3583.161977616294,3588.19,74911.64
2025-03-31 03:08:02.504771,3545.19,3566.3555655482614,3515.693312338494,3545.19,42206.81
2025-03-31 03:23:02.504771,3532.75,3562.3476900254764,3497.487643563635,3532.75,77644.98
2025-03-31 03:38:02.504771,3484.31,3514.647178429429,3457.500448781434,3484.31,10668.52
2025-03-31 03:53:02.504771,3529.91,3548.3355724373437,3512.832099815277,3529.91,10140.77
2025-03-31 04:08:02.504771,3460.32,3475.2552885867653,3441.0329797487066,3460.32,59900.16
2025-03-31 04:23:02.504771,3492.3,3500.6658154727897,3478.827043371969,3492.3,49490.99
2025-03-31 04:38:02.504771,3490.24,3505.9894531766154,3470.049157769536,3490.24,22268.1
2025-03-31 04:53:02.504771,3469.57,3501.061731665809,3455.920375264408,3469.57,17209.34
2025-03-31 05:08:02.504771,3484.94,3499.6351573264055,3468.396063844756,3484.94,56237.19
2025-03-31 05:23:02.504771,3538.88,3560.5300780416555,3516.221039066654,3538.88,46603.86
2025-03-31 05:38:02.504771,3595.38,3620.1202449302664,3572.1410492276946,3595.38,42154.27
2025-03-31 05:53:02.504771,3537.78,3573.101807187707,3517.9071103885613,3537.78,49976.08
2025-03-31 06:08:02.504771,3597.24,3608.8109271922654,3579.851412303491,3597.24,29150.03
2025-03-31 06:23:02.504771,3540.85,3555.0341888461026,3533.1830511859866,3540.85,32769.69
2025-03-31 06:38:02.504771,3536.41,3547.8992863416915,3527.508391920285,3536.41,47804.77
2025-03-31 06:53:02.504771,3467.75,3481.2636529696256,3441.5563659979352,3467.75,53982.81
2025-03-31 07:08:02.504771,3404.46,3415.5653959797196,3382.6536123508286,3404.46,70084.81
2025-03-31 07:23:02.504771,3420.28,3446.1457816447023,3404.0314051870337,3420.28,63432.87
2025-03-31 07:38:02.504771,3389.87,3420.459967419319,3368.2163961815186,3389.87,46001.4
2025-03-31 07:53:02.504771,3416.7,3430.510143701999,3399.1773050670636,3416.7,62494.22
2025-03-31 08:08:02.504771,3371.64,3381.208153857932,3359.287837922632,3371.64,59826.31
2025-03-31 08:23:02.504771,3384.6,3391.320409848092,3370.016323634194,3384.6,23019.97
2025-03-31 08:38:02.504771,3359.55,3372.261460178776,3351.6275189834973,3359.55,14202.74
2025-03-31 08:53:02.504771,3411.17,3436.8322470142407,3391.5563103515665,3411.17,26159.1
2025-03-31 09:08:02.504771,3372.65,3392.4358569777787,3364.145222635604,3372.65,38246.65
